Table_ID,Table_Label,Spatial_Coverage,Lowest_Geography,Unit,Measure,Pop_Base,Tiers,Variables,Variable_ID,Variable_Label,Categories,Cells,Interior_Cells,Cell_ID,Cell_Label_ONS_Prefix,Cell_Label_ONS,Cell_Label,EW_Count,EW_Pct,ctry,rgn,utla,ltla,msoa,ward,lsoa,oa
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020008,Marital and civil partnership status,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,35797,0.07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020009,Marital and civil partnership status,Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value,Married or in a registered civil partnership: In a registered civil partnership: Same sex,66812,0.14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020010,Marital and civil partnership status,"Separated, but still legally married or still legally in a civil partnership; measures: Value","Separated, but still legally married or still legally in a civil partnership",1085987,2.24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020011,Marital and civil partnership status,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Separated, but still legally married or still legally in a civil partnership: Separated, but still married",1078052,2.22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020012,Marital and civil partnership status,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value","Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",7935,0.02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020013,Marital and civil partnership status,Divorced or civil partnership dissolved; measures: Value,Divorced or civil partnership dissolved,4424346,9.11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020014,Marital and civil partnership status,Divorced or civil partnership dissolved: Divorced; measures: Value,Divorced or civil partnership dissolved: Divorced,4412518,9.09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020015,Marital and civil partnership status,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,11828,0.02,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020016,Marital and civil partnership status,Widowed or surviving civil partnership partner; measures: Value,Widowed or surviving civil partnership partner,2971161,6.12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020017,Marital and civil partnership status,Widowed or surviving civil partnership partner: Widowed; measures: Value,Widowed or surviving civil partnership partner: Widowed,2966923,6.11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts002,Legal partnership status,England & Wales,oa,Person,Count,All usual residents aged 16 years and over,3,1,legal_partnership_status,Marital and civil partnership status,12,18,12,ts0020018,Marital and civil partnership status,Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,4238,0.01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030001,Household composition,Total; measures: Value,Total: All households,24783199,100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030002,Household composition,One person household; measures: Value,One person household,7481788,30.19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030003,Household composition,One person household: Aged 66 years and over; measures: Value,One person household: Aged 66 years and over,3197845,12.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030004,Household composition,One person household: Other; measures: Value,One person household: Other,4283943,17.29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030005,Household composition,Single family household; measures: Value,Single family household,15613018,63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030006,Household composition,Single family household: All aged 66 years and over; measures: Value,Single family household: All aged 66 years and over,2283288,9.21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030007,Household composition,Single family household: Married or civil partnership couple; measures: Value,Single family household: Married or civil partnership couple,7516491,30.33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030008,Household composition,Single family household: Married or civil partnership couple: No children; measures: Value,Single family household: Married or civil partnership couple: No children,2585219,10.43,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030009,Household composition,Single family household: Married or civil partnership couple: Dependent children; measures: Value,Single family household: Married or civil partnership couple: Dependent children,3535421,14.27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030010,Household composition,Single family household: Married or civil partnership couple: All children non-dependent; measures: Value,Single family household: Married or civil partnership couple: All children non-dependent,1395851,5.63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030011,Household composition,Single family household: Cohabiting couple family; measures: Value,Single family household: Cohabiting couple family,2864627,11.56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030012,Household composition,Single family household: Cohabiting couple family: No children; measures: Value,Single family household: Cohabiting couple family: No children,1564054,6.31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030013,Household composition,Single family household: Cohabiting couple family: With dependent children; measures: Value,Single family household: Cohabiting couple family: With dependent children,1120941,4.52,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030014,Household composition,Single family household: Cohabiting couple family: All children non-dependent; measures: Value,Single family household: Cohabiting couple family: All children non-dependent,179632,0.72,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030015,Household composition,Single family household: Lone parent family; measures: Value,Single family household: Lone parent family,2756737,11.12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030016,Household composition,Single family household: Lone parent family: With dependent children; measures: Value,Single family household: Lone parent family: With dependent children,1719350,6.94,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030017,Household composition,Single family household: Lone parent family: All children non-dependent; measures: Value,Single family household: Lone parent family: All children non-dependent,1037387,4.19,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030018,Household composition,Single family household: Other single family household; measures: Value,Single family household: Other single family household,191875,0.77,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030019,Household composition,Single family household: Other single family household: Other family composition; measures: Value,Single family household: Other single family household: Other family composition,191875,0.77,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030020,Household composition,Other household types; measures: Value,Other household types,1688393,6.81,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030021,Household composition,Other household types: With dependent children; measures: Value,Other household types: With dependent children,656418,2.65,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts003,Household composition,England & Wales,oa,Household,Count,All households,3,1,hh_family_composition_15a,Household composition,15,22,15,ts0030022,Household composition,"Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value","Other household types: Other, including all full-time students and all aged 66 years and over",1031975,4.16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040001,Country of birth,Total; measures: Value,Total: All usual residents,59597542,100,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040002,Country of birth,Europe; measures: Value,Europe,53722544,90.14,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040003,Country of birth,Europe: United Kingdom; measures: Value,Europe: United Kingdom,49579570,83.19,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040004,Country of birth,Europe: EU countries; measures: Value,Europe: EU countries,3643242,6.11,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040005,Country of birth,Europe: EU countries: European Union EU14; measures: Value,Europe: EU countries: European Union EU14,1620266,2.72,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040006,Country of birth,Europe: EU countries: European Union EU8; measures: Value,Europe: EU countries: European Union EU8,1225623,2.06,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040007,Country of birth,Europe: EU countries: European Union EU2; measures: Value,Europe: EU countries: European Union EU2,689094,1.16,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040008,Country of birth,Europe: EU countries: All other EU countries; measures: Value,Europe: EU countries: All other EU countries,108259,0.18,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040009,Country of birth,Europe: Non-EU countries; measures: Value,Europe: Non-EU countries,499732,0.84,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040010,Country of birth,Europe: Non-EU countries: All other non-EU countries; measures: Value,Europe: Non-EU countries: All other non-EU countries,499732,0.84,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040011,Country of birth,Africa; measures: Value,Africa,1584575,2.66,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040012,Country of birth,Middle East and Asia; measures: Value,Middle East and Asia,3311030,5.56,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040013,Country of birth,The Americas and the Caribbean; measures: Value,The Americas and the Caribbean,785754,1.32,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040014,Country of birth,Antarctica and Oceania (including Australasia) and Other; measures: Value,Antarctica and Oceania (including Australasia) and Other,172547,0.29,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts004,Country of birth,England & Wales,oa,Person,Count,All usual residents,3,1,country_of_birth_12a,Country of birth,12,15,12,ts0040015,Country of birth,British Overseas ; measures: Value,British Overseas,21092,0.04,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050001,Passports held,Total; measures: Value,Total: All usual residents,59597538,100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050002,Passports held,Europe; measures: Value,Europe,49745555,83.47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050003,Passports held,Europe: United Kingdom; measures: Value,Europe: United Kingdom,45688445,76.66,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050004,Passports held,Europe: Ireland; measures: Value,Europe: Ireland,364726,0.61,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050005,Passports held,Europe: Other Europe; measures: Value,Europe: Other Europe,3692384,6.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050006,Passports held,Europe: Other Europe: EU Member countries; measures: Value,Europe: Other Europe: EU Member countries,3520436,5.91,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050007,Passports held,Europe: Other Europe: EU Member countries: France; measures: Value,Europe: Other Europe: EU Member countries: France,163517,0.27,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050008,Passports held,Europe: Other Europe: EU Member countries: Germany; measures: Value,Europe: Other Europe: EU Member countries: Germany,119354,0.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050009,Passports held,Europe: Other Europe: EU Member countries: Italy; measures: Value,Europe: Other Europe: EU Member countries: Italy,368738,0.62,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050010,Passports held,Europe: Other Europe: EU Member countries: Portugal; measures: Value,Europe: Other Europe: EU Member countries: Portugal,286489,0.48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050011,Passports held,Europe: Other Europe: EU Member countries: Spain; measures: Value,Europe: Other Europe: EU Member countries: Spain,216728,0.36,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050012,Passports held,Europe: Other Europe: EU Member countries: Lithuania; measures: Value,Europe: Other Europe: EU Member countries: Lithuania,185159,0.31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050013,Passports held,Europe: Other Europe: EU Member countries: Poland; measures: Value,Europe: Other Europe: EU Member countries: Poland,760146,1.28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050014,Passports held,Europe: Other Europe: EU Member countries: Romania; measures: Value,Europe: Other Europe: EU Member countries: Romania,550298,0.92,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050015,Passports held,Europe: Other Europe: EU Member countries: Other EU countries; measures: Value,Europe: Other Europe: EU Member countries: Other EU countries,870007,1.46,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050016,Passports held,Europe: Other Europe: Rest of Europe; measures: Value,Europe: Other Europe: Rest of Europe,171948,0.29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050017,Passports held,Europe: Other Europe: Rest of Europe: Turkey; measures: Value,Europe: Other Europe: Rest of Europe: Turkey,45438,0.08,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050018,Passports held,Europe: Other Europe: Rest of Europe: Other Europe; measures: Value,Europe: Other Europe: Rest of Europe: Other Europe,126510,0.21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050019,Passports held,Africa; measures: Value,Africa,378306,0.63,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050020,Passports held,Africa: North Africa; measures: Value,Africa: North Africa,54372,0.09,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050021,Passports held,Africa: Central and Western Africa; measures: Value,Africa: Central and Western Africa,195158,0.33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050022,Passports held,Africa: South and Eastern Africa; measures: Value,Africa: South and Eastern Africa,128776,0.22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050023,Passports held,Middle East and Asia; measures: Value,Middle East and Asia,1076219,1.81,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050024,Passports held,Middle East and Asia: Middle East; measures: Value,Middle East and Asia: Middle East,72154,0.12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050025,Passports held,Middle East and Asia: Eastern Asia; measures: Value,Middle East and Asia: Eastern Asia,174826,0.29,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050026,Passports held,Middle East and Asia: Southern Asia; measures: Value,Middle East and Asia: Southern Asia,693403,1.16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050027,Passports held,Middle East and Asia: South-East Asia; measures: Value,Middle East and Asia: South-East Asia,130956,0.22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050028,Passports held,Middle East and Asia: Central Asia; measures: Value,Middle East and Asia: Central Asia,4880,0.01,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ts005,Passports held,England & Wales,oa,Person,Count,All usual residents,4,1,passports_all_27a,Passports held,27,34,27,ts0050029,Passports held,The Americas and the Caribbean; measures: Value,The Americas and the Caribbean,300267,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
